example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
பொள்டான் செரரியொ தேட் உம்ப்3ராக2புரொ தக3ஸுன்,Corner tiles are laid at the junction of the roof,கூரைகள் இணையும் இடத்தில் மூலை ஓடுகள் போடப்படுகிறது
ப3ளிங்கு3 ஹீபு மொஞ்சு கலமு ஸில்லொ ர்ஹாயி,Marble floors are cool in winter,பளிங்கு தரைகள் குளிர்காலத்தில் குளிர்ச்சியாக இருக்கும்
"தெல்லெ கலமு, ஸெனி ஹால் பூ4ய்ஞ் ஸௌரன்","In those days, the floor was coated with wet dung",அந்தக் காலத்தில் ஈரச் சாணத்தைக் கொண்டு தரையைப் பூசுவார்கள்
லைடா3 பொள்டாம் ர்ஹீ விஞ்சு லலரஸ்,The scorpion falls from the wooden roof,மரக் கூரையிலிருந்து தேள் விழுகிறது
வரொ பொ3லோம்கன் ஹனத்தெமாம் லோவு புள்டொ ஹுடி3 ஜேடி3யொ,The metal roof was blown away by the strong wind,காற்று பலமாக வீசியதில் உலோக கூரை பறந்து சென்றது
லொனிக் ஸிகாம் லொம்பொ3 ஸொட்3ராஸ்,The butter is hung in the hanging pot,வெண்ணெயை உறியில் தொங்கவிட்டுள்ளார்கள்
தொரணு தி3வொ உன்சொபீ4தும் ர்ஹீ லொம்ப3ரஸ்,The chandeliers hang from the ceiling,சரவிளக்குகள் கூரையிலிருந்து தொங்குகின்றன
அக3ஸுடி வாட் அவரியொ ஸுரிது கிரணு ஹுஜால் தே3ஸு,Sunlight coming through the roof glass illuminates,கூரை கண்ணாடி வழியாக வரும் சூரிய ஒளி வெளிச்சம் தருகிறது
அகாஸ்விடி3ம் பொவ்ஸ் பொட3ரியொ ஸாத்தக் சொக்கட் ஸே,It's nice to see rain falling on the roof glass,கூரை கண்ணாடியில் மழை பொழிவதைப் பார்க்க நன்றாக இருக்கிறது
கே4ரு நித்தொகா2ம்பு3ன் தேகு ஜா2டு3ம் கெரயொ,The pillars of the house are made of teak wood,வீட்டின் தூண்கள் தேக்கு மரத்தால் செய்யப்பட்டது
சிடி3ன் முகுடும் நீடொ3 ப4ந்த3ய்,Sparrows build nests on roof ridges,சிட்டுக்குருவிகள் உத்தரத்தில் கூடு கட்டும்
ஸவ்னான் வேன் உன்சொ ர்ஹா ஹோனா,Stairs should not be too high,படிக்கட்டுகள் மிக உயரமாக இருக்கக்கூடாது
மெர்க்கணினு ஸங்க்யொ ஒண்டெபளொகன் ர்ஹாத்தெ சொக்கடு3,It is good that the number of stairs is odd,படிக்கட்டுகளின் எண்ணிக்கை ஒற்றைப்படையாக இருப்பது நல்லது
மொரெ கே4ர் தீ3 வித்3தெ3 கே4ர்,My house is a two storey house,என் வீடு இரண்டு மாடி வீடு
ஹுனளாம் அமி ஹுடொ3 வித்3தெ3ம் நிஞ்ஜுவெ,In summer we sleep on the terrace,கோடையில் நாங்கள் மொட்டை மாடியில் தூங்குவோம்
ஸுனொ வித்3தெ3 நெவ்டா3ம் ர்ஹீ தொங்கி3 ஸாரஸ்,The dog peeks out from the balcony,நாய் மாடி முகப்பிலிருந்து எட்டி பார்க்கிறது
ஹாதுபீ4தும் ஒர்கு3னாங்கொ3,Do not lean against the parapet wall,கைப்பிடிச் சுவரில் சாயாதீர்கள்
ஜுன்னொ பொ3க்3கு3ன் அஸ்கி அள்டாம் தொ2வொ,Keep all old books on the loft,பழைய புத்தகங்கள் அனைத்தையும் பரணில் வைக்கவும்
கெட்டுலும் நிஞ்ஜெத் மொகொ3 ஹோங்கு3 அவ்னா,I can not sleep if I sleep in cot,கட்டிலில் தூங்கினால் எனக்கு தூக்கம் வராது
தொ3ரி மொஞ்செம் நிஞ்ஜத்தக் மொகொ3 ஜுக்கு ஒப்பாய்,I love sleeping on a rope cot,கயிற்றுக் கட்டிலில் தூங்குவது எனக்கு மிகவும் பிடிக்கும்
ஹூனுகலமு லோவு க3வ்டி3ம் நிஞ்ஜத்தக் முஸுனா,Can't sleep in a metal cot in the summer,கோடை காலத்தில் உலோகக் கட்டிலில் தூங்க முடியாது
தொரன் கு3ஷ்டிம் ஸௌதின் ஸுத்3த4ம்கன் ந்ஹீ,The beds on the train were not clean,ரயிலில் படுக்கைகள் சுத்தமாக இல்லை
